,predicted_mean
2021-08-01,1295.3275398932162
2021-09-01,769.6575459048669
2021-10-01,1383.8404008079806
2021-11-01,1308.5701002355263
2021-12-01,1310.0467088338212
2022-01-01,1630.4524227550164
2022-02-01,2468.97449567994
2022-03-01,1632.9221731687107
2022-04-01,1587.9325880297001
2022-05-01,1875.9876836061046
2022-06-01,1382.7818667633758
2022-07-01,1284.5434551422218
2022-08-01,1365.2894746595125
2022-09-01,839.6194806711632
2022-10-01,1453.802335574277
2022-11-01,1378.532035001823
2022-12-01,1380.0086436001177
