,predicted_mean
2021-08-01,2553.407113417335
2021-09-01,2888.4679368165603
2021-10-01,2673.3867050446393
2021-11-01,2484.979366140123
2021-12-01,2434.1302546075967
2022-01-01,2254.0101379761754
2022-02-01,3048.9070162413996
2022-03-01,1815.7410859359995
2022-04-01,2111.911477617786
2022-05-01,2459.1585995973264
2022-06-01,2573.5527105705814
2022-07-01,2725.321523818206
2022-08-01,2614.8944427182105
2022-09-01,2981.692645961677
2022-10-01,2732.2320254946535
2022-11-01,2577.980451693067
2022-12-01,2487.9448173686674
