,predicted_mean
2021-08-01,3609.369542033433
2021-09-01,4008.721451687219
2021-10-01,3494.9244193821605
2021-11-01,3432.6487173173077
2021-12-01,3395.613793983526
2022-01-01,2800.4674300735583
2022-02-01,3894.5684525550882
2022-03-01,2961.514956369392
2022-04-01,2913.372397640963
2022-05-01,3588.836010241789
2022-06-01,3325.5172812345186
2022-07-01,3428.6802989058147
2022-08-01,3656.373984831678
2022-09-01,4107.496955984066
2022-10-01,3606.6903704494507
2022-11-01,3547.674244340951
2022-12-01,3511.4572170813385
