,predicted_mean
2021-08-01,19607.067159225837
2021-09-01,19607.067159225837
2021-10-01,19607.067159225837
2021-11-01,19607.067159225837
2021-12-01,19607.067159225837
2022-01-01,19607.067159225837
2022-02-01,19607.067159225837
2022-03-01,19607.067159225837
2022-04-01,19607.067159225837
2022-05-01,19607.067159225837
2022-06-01,19607.067159225837
2022-07-01,19607.067159225837
2022-08-01,19607.067159225837
2022-09-01,19607.067159225837
2022-10-01,19607.067159225837
2022-11-01,19607.067159225837
2022-12-01,19607.067159225837
