,predicted_mean
2021-08-01,3791.309805242378
2021-09-01,10686.652390154004
2021-10-01,2940.702877484702
2021-11-01,3100.173071868372
2021-12-01,3541.204114884682
2022-01-01,4151.600310443613
2022-02-01,11557.94731803615
2022-03-01,3895.2092612359274
2022-04-01,1417.6592109637513
2022-05-01,-1028.0581371565995
2022-06-01,2657.186555552597
2022-07-01,3304.468334634164
2022-08-01,4096.016976658588
2022-09-01,10685.384839303415
2022-10-01,3161.4315163700235
2022-11-01,3266.1036691641243
2022-12-01,3735.27156106015
