,predicted_mean
2021-08-01,6231.384354193258
2021-09-01,7047.266802233596
2021-10-01,6451.0788445910675
2021-11-01,6474.1341923200025
2021-12-01,6099.834965324704
2022-01-01,6045.9502858897185
2022-02-01,6179.178523590886
2022-03-01,6130.65013918464
2022-04-01,6526.644424062683
2022-05-01,5942.785739991665
2022-06-01,6353.742779857445
2022-07-01,6298.124820562323
2022-08-01,6746.022818812588
2022-09-01,7412.166753887188
2022-10-01,6915.072734794248
2022-11-01,6939.405133217314
2022-12-01,6631.514090621706
