,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2002-01-01,2314.7289893519996,1595.7218914925384,2918.3204476280243,2314.7289893519996,2314.7289893519996,-0.023181363690000192,-0.023181363690000192,-0.023181363690000192,-0.023181363690000192,-0.023181363690000192,-0.023181363690000192,0.0,0.0,0.0,2261.0704148060445
1,2002-02-01,2317.0573015990226,1631.7146364302405,2996.6036875628447,2317.0573015990226,2317.0573015990226,-0.004317137280609548,-0.004317137280609548,-0.004317137280609548,-0.004317137280609548,-0.004317137280609548,-0.004317137280609548,0.0,0.0,0.0,2307.054247140981
2,2002-03-01,2319.160293306011,1488.347942933747,2826.287808149652,2319.160293306011,2319.160293306011,-0.07117355373219866,-0.07117355373219866,-0.07117355373219866,-0.07117355373219866,-0.07117355373219866,-0.07117355373219866,0.0,0.0,0.0,2154.097413556814
3,2002-04-01,2321.4886055530346,1480.3526922570616,2824.004526831641,2321.4886055530346,2321.4886055530346,-0.08659799159852342,-0.08659799159852342,-0.08659799159852342,-0.08659799159852342,-0.08659799159852342,-0.08659799159852342,0.0,0.0,0.0,2120.452354793285
4,2002-05-01,2323.741810953379,1148.0181681586885,2485.9528419259673,2323.741810953379,2323.741810953379,-0.2144706760988766,-0.2144706760988766,-0.2144706760988766,-0.2144706760988766,-0.2144706760988766,-0.2144706760988766,0.0,0.0,0.0,1825.36733367898
5,2002-06-01,2326.0701232004026,1492.0644918767625,2786.5579035965425,2326.0701232004026,2326.0701232004026,-0.08660300988023517,-0.08660300988023517,-0.08660300988023517,-0.08660300988023517,-0.08660300988023517,-0.08660300988023517,0.0,0.0,0.0,2124.6254493387582
6,2002-07-01,2328.323328600747,1438.0038403597155,2821.5156319012412,2328.323328600747,2328.323328600747,-0.07215514348732704,-0.07215514348732704,-0.07215514348732704,-0.07215514348732704,-0.07215514348732704,-0.07215514348732704,0.0,0.0,0.0,2160.322824740669
7,2002-08-01,2330.65164084777,1687.0651950645313,2993.7709322053706,2330.65164084777,2330.65164084777,0.007533016948320926,0.007533016948320926,0.007533016948320926,0.007533016948320926,0.007533016948320926,0.007533016948320926,0.0,0.0,0.0,2348.2084791589086
8,2002-09-01,2332.979951913301,2344.2771421973007,3667.5335419876037,2332.979951913301,2332.979951913301,0.28441324770685483,0.28441324770685483,0.28441324770685483,0.28441324770685483,0.28441324770685483,0.28441324770685483,0.0,0.0,0.0,2996.510356871945
9,2002-10-01,2335.2331561702667,1896.1302905533053,3227.4977273550244,2335.2331561702667,2335.2331561702667,0.09831461827866037,0.09831461827866037,0.09831461827866037,0.09831461827866037,0.09831461827866037,0.09831461827866037,0.0,0.0,0.0,2564.8207125108174
10,2002-11-01,2337.561467235798,1949.5610089957681,3277.780564196486,2337.561467235798,2337.561467235798,0.12723882585814456,0.12723882585814456,0.12723882585814456,0.12723882585814456,0.12723882585814456,0.12723882585814456,0.0,0.0,0.0,2634.9900436981225
11,2002-12-01,2339.814671492763,1677.1930881431263,3076.653013964786,2339.814671492763,2339.814671492763,0.013915457958493735,0.013915457958493735,0.013915457958493735,0.013915457958493735,0.013915457958493735,0.013915457958493735,0.0,0.0,0.0,2372.3742641845874
12,2003-01-01,2342.142982558294,1622.2967754981153,2932.6132515449635,2342.142982558294,2342.142982558294,-0.02201073535615372,-0.02201073535615372,-0.02201073535615372,-0.02201073535615372,-0.02201073535615372,-0.02201073535615372,0.0,0.0,0.0,2290.590693202931
13,2003-02-01,2344.471293623825,1632.5282705098477,3026.319029313515,2344.471293623825,2344.471293623825,-0.0014273102800523504,-0.0014273102800523504,-0.0014273102800523504,-0.0014273102800523504,-0.0014273102800523504,-0.0014273102800523504,0.0,0.0,0.0,2341.125005645148
14,2003-03-01,2346.5742842636596,1487.8924570441332,2855.4175472958777,2346.5742842636596,2346.5742842636596,-0.073244111035485,-0.073244111035485,-0.073244111035485,-0.073244111035485,-0.073244111035485,-0.073244111035485,0.0,0.0,0.0,2174.7015368340385
15,2003-04-01,2348.9025953291907,1514.6635643950772,2781.0228511741216,2348.9025953291907,2348.9025953291907,-0.08628587724675213,-0.08628587724675213,-0.08628587724675213,-0.08628587724675213,-0.08628587724675213,-0.08628587724675213,0.0,0.0,0.0,2146.2254743240387
16,2003-05-01,2351.1558013742015,1210.7936465442365,2565.895526633025,2351.1558013742015,2351.1558013742015,-0.2136726909955,-0.2136726909955,-0.2136726909955,-0.2136726909955,-0.2136726909955,-0.2136726909955,0.0,0.0,0.0,1848.7780143448945
17,2003-06-01,2353.484114287379,1484.9427825393013,2810.260913021999,2353.484114287379,2353.484114287379,-0.08862876432402014,-0.08862876432402014,-0.08862876432402014,-0.08862876432402014,-0.08862876432402014,-0.08862876432402014,0.0,0.0,0.0,2144.8977253818775
18,2003-07-01,2355.7373203323896,1487.1795140190293,2813.1645493193437,2355.7373203323896,2355.7373203323896,-0.07313501125416585,-0.07313501125416585,-0.07313501125416585,-0.07313501125416585,-0.07313501125416585,-0.07313501125416585,0.0,0.0,0.0,2183.4504448980215
19,2003-08-01,2358.0656332455674,1703.5853762457289,3023.125085851697,2358.0656332455674,2358.0656332455674,0.011287952640493763,0.011287952640493763,0.011287952640493763,0.011287952640493763,0.011287952640493763,0.011287952640493763,0.0,0.0,0.0,2384.6833664368196
20,2003-09-01,2360.3939461587447,2360.192390684195,3686.1320310361816,2360.3939461587447,2360.3939461587447,0.28194225371130577,0.28194225371130577,0.28194225371130577,0.28194225371130577,0.28194225371130577,0.28194225371130577,0.0,0.0,0.0,3025.8887349852635
21,2003-10-01,2362.6471522037555,1930.490479762055,3288.0437642922734,2362.6471522037555,2362.6471522037555,0.09685164239865734,0.09685164239865734,0.09685164239865734,0.09685164239865734,0.09685164239865734,0.09685164239865734,0.0,0.0,0.0,2591.4734093032
22,2003-11-01,2364.9754651169333,1998.0747186376398,3361.02606988966,2364.9754651169333,2364.9754651169333,0.12840437583732203,0.12840437583732203,0.12840437583732203,0.12840437583732203,0.12840437583732203,0.12840437583732203,0.0,0.0,0.0,2668.6486635858537
23,2003-12-01,2367.2286710828776,1719.3630277720692,3079.39305919611,2367.2286710828776,2367.2286710828776,0.013497546003347828,0.013497546003347828,0.013497546003347828,0.013497546003347828,0.013497546003347828,0.013497546003347828,0.0,0.0,0.0,2399.1804489712626
24,2004-01-01,2369.556983914353,1583.4129244138553,2965.122204256103,2369.556983914353,2369.556983914353,-0.02078655214759848,-0.02078655214759848,-0.02078655214759848,-0.02078655214759848,-0.02078655214759848,-0.02078655214759848,0.0,0.0,0.0,2320.3020641015114
25,2004-02-01,2371.885296745829,1677.6532959989404,3040.416239765,2371.885296745829,2371.885296745829,0.0014091437241323806,0.0014091437241323806,0.0014091437241323806,0.0014091437241323806,0.0014091437241323806,0.0014091437241323806,0.0,0.0,0.0,2375.2276240261
26,2004-03-01,2374.0633958462413,1609.0448344302436,2881.0279534021593,2374.0633958462413,2374.0633958462413,-0.06711627708679692,-0.06711627708679692,-0.06711627708679692,-0.06711627708679692,-0.06711627708679692,-0.06711627708679692,0.0,0.0,0.0,2214.7250991490027
27,2004-04-01,2376.391708677717,1466.5951481266527,2834.3906644274766,2376.391708677717,2376.391708677717,-0.08720884262449628,-0.08720884262449628,-0.08720884262449628,-0.08720884262449628,-0.08720884262449628,-0.08720884262449628,0.0,0.0,0.0,2169.1493381414843
28,2004-05-01,2378.644914643661,1135.6882945231027,2521.140887424221,2378.644914643661,2378.644914643661,-0.2159640320054711,-0.2159640320054711,-0.2159640320054711,-0.2159640320054711,-0.2159640320054711,-0.2159640320054711,0.0,0.0,0.0,1864.9431681679064
29,2004-06-01,2380.973227475137,1504.2291817210307,2857.717750719452,2380.973227475137,2380.973227475137,-0.08260063172084814,-0.08260063172084814,-0.08260063172084814,-0.08260063172084814,-0.08260063172084814,-0.08260063172084814,0.0,0.0,0.0,2184.303334775264
30,2004-07-01,2383.2264334410806,1528.1862726313257,2893.941741191844,2383.2264334410806,2383.2264334410806,-0.06993520196488193,-0.06993520196488193,-0.06993520196488193,-0.06993520196488193,-0.06993520196488193,-0.06993520196488193,0.0,0.0,0.0,2216.5550114903335
31,2004-08-01,2385.554746244195,1699.095622951882,3019.6083416534893,2385.554746244195,2385.554746244195,4.758185697783732e-05,4.758185697783732e-05,4.758185697783732e-05,4.758185697783732e-05,4.758185697783732e-05,4.758185697783732e-05,0.0,0.0,0.0,2385.668255368944
32,2004-09-01,2387.8830590473094,2355.889778151648,3735.242910850288,2387.8830590473094,2387.8830590473094,0.28884331197017304,0.28884331197017304,0.28884331197017304,0.28884331197017304,0.28884331197017304,0.28884331197017304,0.0,0.0,0.0,3077.6071104200023
33,2004-10-01,2390.136264985807,1943.2060436191032,3305.2650886101983,2390.136264985807,2390.136264985807,0.10141201401940039,0.10141201401940039,0.10141201401940039,0.10141201401940039,0.10141201401940039,0.10141201401940039,0.0,0.0,0.0,2632.524797398825
34,2004-11-01,2392.4645777889214,1992.7437341259545,3290.9745721328027,2392.4645777889214,2392.4645777889214,0.12492524285253505,0.12492524285253505,0.12492524285253505,0.12492524285253505,0.12492524285253505,0.12492524285253505,0.0,0.0,0.0,2691.34379618529
35,2004-12-01,2394.717783727419,1721.5577820565852,3109.367558461501,2394.717783727419,2394.717783727419,0.014876646065498697,0.014876646065498697,0.014876646065498697,0.014876646065498697,0.014876646065498697,0.014876646065498697,0.0,0.0,0.0,2430.3431526226873
36,2005-01-01,2397.0460965305333,1660.6998462390256,2991.622500073243,2397.0460965305333,2397.0460965305333,-0.02429647294770641,-0.02429647294770641,-0.02429647294770641,-0.02429647294770641,-0.02429647294770641,-0.02429647294770641,0.0,0.0,0.0,2338.806330891774
37,2005-02-01,2399.3744093336477,1736.8293295427256,3034.5033232127494,2399.3744093336477,2399.3744093336477,-0.007257211455339793,-0.007257211455339793,-0.007257211455339793,-0.007257211455339793,-0.007257211455339793,-0.007257211455339793,0.0,0.0,0.0,2381.9616418845826
38,2005-03-01,2401.477400809339,1544.1744180149562,2940.325267188075,2401.477400809339,2401.477400809339,-0.06913012648820879,-0.06913012648820879,-0.06913012648820879,-0.06913012648820879,-0.06913012648820879,-0.06913012648820879,0.0,0.0,0.0,2235.4629643328144
39,2005-04-01,2403.8057128002833,1524.2964152664338,2856.050365973464,2403.8057128002833,2403.8057128002833,-0.08690527801638466,-0.08690527801638466,-0.08690527801638466,-0.08690527801638466,-0.08690527801638466,-0.08690527801638466,0.0,0.0,0.0,2194.902309032001
