,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,pib,pib_lower,pib_upper,reformaisr,reformaisr_lower,reformaisr_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2002-01-01,-395055.93437947996,145714.00625074262,206737.8100878832,-395055.93437947996,-395055.93437947996,571504.2940617378,571504.2940617378,571504.2940617378,-40815.71849124847,-40815.71849124847,-40815.71849124847,-40815.71849124847,-40815.71849124847,-40815.71849124847,0.0,0.0,0.0,612320.0125529863,612320.0125529863,612320.0125529863,0.0,0.0,0.0,176448.35968225787
1,2002-04-01,-393880.9936748489,90692.45694863751,152676.57104183885,-393880.9936748489,-393880.9936748489,514742.37054191774,514742.37054191774,514742.37054191774,-32323.386644970167,-32323.386644970167,-32323.386644970167,-32323.386644970167,-32323.386644970167,-32323.386644970167,0.0,0.0,0.0,547065.7571868879,547065.7571868879,547065.7571868879,0.0,0.0,0.0,120861.37686706882
2,2002-07-01,-392692.9980734997,43407.711849705185,106346.71697094016,-392692.9980734997,-392692.9980734997,468206.1900387571,468206.1900387571,468206.1900387571,-35033.984370912454,-35033.984370912454,-35033.984370912454,-35033.984370912454,-35033.984370912454,-35033.984370912454,0.0,0.0,0.0,503240.17440966953,503240.17440966953,503240.17440966953,0.0,0.0,0.0,75513.1919652574
3,2002-10-01,-391491.94757738383,108665.3153787087,171040.4194576318,-391491.94757738383,-391491.94757738383,532264.1776278248,532264.1776278248,532264.1776278248,-32667.778189349996,-32667.778189349996,-32667.778189349996,-32667.778189349996,-32667.778189349996,-32667.778189349996,0.0,0.0,0.0,564931.9558171749,564931.9558171749,564931.9558171749,0.0,0.0,0.0,140772.230050441
4,2003-01-01,-390290.89708126796,158446.80456113766,222102.2666021619,-390290.89708126796,-390290.89708126796,580243.280648387,580243.280648387,580243.280648387,-36089.721493663594,-36089.721493663594,-36089.721493663594,-36089.721493663594,-36089.721493663594,-36089.721493663594,0.0,0.0,0.0,616333.0021420507,616333.0021420507,616333.0021420507,0.0,0.0,0.0,189952.38356711908
5,2003-04-01,-389115.95637854596,89052.56283865045,153646.05767035065,-389115.95637854596,-389115.95637854596,510322.96598886023,510322.96598886023,510322.96598886023,-31463.365945188438,-31463.365945188438,-31463.365945188438,-31463.365945188438,-31463.365945188438,-31463.365945188438,0.0,0.0,0.0,541786.3319340487,541786.3319340487,541786.3319340487,0.0,0.0,0.0,121207.00961031427
6,2003-07-01,-387927.9607873533,49673.13285851189,108042.43877227607,-387927.9607873533,-387927.9607873533,466918.088335792,466918.088335792,466918.088335792,-34242.2658645815,-34242.2658645815,-34242.2658645815,-34242.2658645815,-34242.2658645815,-34242.2658645815,0.0,0.0,0.0,501160.3542003736,501160.3542003736,501160.3542003736,0.0,0.0,0.0,78990.12754843873
7,2003-10-01,-386726.91029955423,112335.84996210158,176529.2630856265,-386726.91029955423,-386726.91029955423,531275.7837070401,531275.7837070401,531275.7837070401,-29967.048231588647,-29967.048231588647,-29967.048231588647,-29967.048231588647,-29967.048231588647,-29967.048231588647,0.0,0.0,0.0,561242.8319386288,561242.8319386288,561242.8319386288,0.0,0.0,0.0,144548.8734074859
8,2004-01-01,-385525.85975703254,172158.45274305428,234325.30097901222,-385525.85975703254,-385525.85975703254,589221.785277885,589221.785277885,589221.785277885,-30613.920361262288,-30613.920361262288,-30613.920361262288,-30613.920361262288,-30613.920361262288,-30613.920361262288,0.0,0.0,0.0,619835.7056391473,619835.7056391473,619835.7056391473,0.0,0.0,0.0,203695.9255208525
9,2004-04-01,-384337.86411171226,109088.0229937483,172013.67438096378,-384337.86411171226,-384337.86411171226,524407.9444404066,524407.9444404066,524407.9444404066,-24767.621144149463,-24767.621144149463,-24767.621144149463,-24767.621144149463,-24767.621144149463,-24767.621144149463,0.0,0.0,0.0,549175.5655845561,549175.5655845561,549175.5655845561,0.0,0.0,0.0,140070.08032869437
